ticker,year,revenue,net_income,free_cash_flow,roe,roic,gross_margin,net_margin,debt_to_equity,source,updated_at,data_warning
AAPL,2020,274.5,57.4,73.4,73.7,28.7,38.2,20.9,1.73,,,
AAPL,2021,365.8,94.7,93.0,147.4,38.9,41.8,25.9,2.00,,,
AAPL,2022,394.328,99.803,111.443,196.96,54.49,43.31,25.31,2.614,yfinance,2026-05-31,ROE>100%; 使用近似ROIC
AAPL,2023,383.285,96.995,99.584,156.08,55.99,44.13,25.31,1.788,yfinance,2026-05-31,ROE>100%; 使用近似ROIC
AAPL,2024,391.035,93.736,108.807,164.59,57.3,46.21,23.97,1.872,yfinance,2026-05-31,ROE>100%; 使用近似ROIC
AAPL,2025,416.161,112.01,98.767,151.91,64.97,46.91,26.92,1.338,yfinance,2026-05-31,ROE>100%; 使用近似ROIC
JNJ,2020,82.6,14.7,19.8,23.0,16.8,67.5,17.8,0.50,,,
JNJ,2021,93.8,20.9,21.5,24.5,17.8,67.2,22.3,0.40,,,
JNJ,2022,94.9,17.9,18.5,22.8,16.9,67.0,18.9,0.50,,,
JNJ,2023,85.2,13.8,16.3,22.1,17.2,67.1,16.2,0.40,,,
JNJ,2024,88.8,14.1,19.4,24.8,17.8,67.2,15.9,0.40,,,
MSFT,2020,143.0,44.3,45.2,40.1,25.8,67.8,31.0,0.50,,,
MSFT,2021,168.1,61.3,56.1,43.4,30.2,68.4,36.5,0.40,,,
MSFT,2022,198.27,72.738,65.149,43.68,31.93,68.4,36.69,0.368,yfinance,2026-05-31,使用近似ROIC
MSFT,2023,211.915,72.361,59.475,35.09,27.18,68.92,34.15,0.291,yfinance,2026-05-31,使用近似ROIC
MSFT,2024,245.122,88.136,74.071,32.83,26.26,69.76,35.96,0.25,yfinance,2026-05-31,使用近似ROIC
MSFT,2025,281.724,101.832,71.611,29.65,25.2,68.82,36.15,0.176,yfinance,2026-05-31,使用近似ROIC
NVDA,2020,10.9,2.8,3.8,23.6,16.2,62.3,25.6,0.40,,,
NVDA,2021,16.7,4.3,4.7,26.9,19.4,63.3,25.6,0.30,,,
NVDA,2022,26.9,9.8,8.1,44.2,32.1,64.9,36.2,0.40,,,
NVDA,2023,60.0,29.8,27.0,51.2,38.4,68.0,49.7,0.40,,,
NVDA,2024,130.5,63.0,33.7,68.4,44.8,72.8,48.2,0.40,,,
V,2020,21.8,7.1,7.7,33.8,19.2,79.8,32.6,0.50,,,
V,2021,24.1,12.3,13.8,37.2,21.4,79.5,51.0,0.40,,,
V,2022,29.3,14.9,17.1,37.4,21.8,80.1,50.9,0.40,,,
V,2023,32.7,17.3,18.9,38.1,22.1,79.7,52.8,0.40,,,
V,2024,35.9,19.7,21.0,38.6,22.4,79.8,54.8,0.40,,,
